id,name,title,gender,role
GV017,Goran Vasiljević,doc. dr. sc.,M,docent
MV031,Mario Vašak,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IV001,Igor Velčić,prof. dr. sc.,M,redoviti profesor
MV367,"Marta Vidas,",univ. mag. ing. comp.,F,asistent
LV037,Lana Virag,doc. dr. sc.,F,docent
DT050,Dijana Vitas,dr. sc.,F,znanstveni suradnik
KV017,Klemo Vladimir,izv. prof. dr. sc.,unknown,izvanredni profesor
DV062,Domagoj Vlah,izv. prof. dr. sc.,M,izvanredni profesor
RV025,Rebeka Danijela Vlahov,izv. prof. dr. sc.,F,izvanredni profesor
IV047,Igor Vlahović,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
KP108,"Katarina Vodvarka,",dr. sc. tech.,F,asistent
MV028,Mihaela Vranić,prof. dr. sc.,F,redoviti profesor
MV025,Mario Vražić,prof. dr. sc.,M,redoviti profesor u trajnom izboru
FV023,Filip Vrbanc,dr. sc. tech.,M,asistent
BV005,Boris Vrdoljak,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
DV190,Donik Vršnak,dr. sc.,M,povjera predavanja
MV024,Mladen Vučić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
FV006,Feđa Vukić,prof. dr. sc.,M,redoviti profesor
ZV003,Zoran Vukić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
JV052,Josip Vuković,doc. dr. sc.,M,docent
MV061,Marin Vuković,prof. dr. sc.,M,redoviti profesor
MV004,Mladen Vuković,prof. dr. sc.,M,redoviti profesor
JT063,"Jelena Vuletić,",mag. ing. el. techn. inf.,F,asistent
IP218,Ivana Zagorščak,dr. sc.,F,viši asistent
IZ016,Ivona Zakarija,doc. dr. sc.,F,docent
SZ002,Slaven Zakošek,doc. dr. sc.,M,docent
RZ003,Radovan Zentner,prof. dr. sc.,M,redoviti profesor
MZ053,Matija Zidar,dr. sc.,unknown,povjera predavanja
MŽ007,Mario Žagar,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
MŽ015,Martin Žagar,doc. dr. sc.,M,docent
DŽ004,Damir Žarko,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IŽ055,"Ivana Žeger,",mag. ing. inf. et comm. techn.,F,asistent
AŽ005,Ana Žgaljić Keko,doc. dr. sc.,F,docent
NŽ011,Nera Žigić,,F,povjera predavanja
JŽ022,Josip Žubrinić,doc. dr. sc.,M,docent
TŽ015,Tomislav Župan,nasl. doc. dr. sc.,M,naslovni docent
VŽ003,Vesna Županović,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
